Nhân vật,Năm,Sự kiện
Jigme Singye Wangchuck,2006,"Trong chuyến viếng thăm vào tháng 7 năm 2006, Wangchuck đã đề nghị Ấn Độ xem xét và viết lại bản hiệp định 57 năm để cập nhật nó cho bối cảnh hiện tại."
Jigme Singye Wangchuck,2007,"Ngày 10 tháng 2 năm 2007, Hiệp ước Hữu nghị mới được ký giữa Jigme Khesar Namgyel Wangchuck và Bộ trưởng Ngoại giao Ấn Độ ông Pranab Mukerjee."
Philip Showalter Hench,1916,"Ông học các trường trung tiểu học địa phương, rồi vào học trường Lafayette College ở Easton, Pennsylvania, và đậu bằng cử nhân năm 1916."
Philip Showalter Hench,1917,"Năm 1917, ông đăng ký vào Đoàn Y sĩ quân đội Hoa Kỳ, nhưng được chuyển sang đoàn trừ bị, để học nốt Y khoa và đậu bằng bác sĩ Y khoa ở Đại học Pittsburgh năm 1920."
Philip Showalter Hench,1948,"Năm 1948, cùng với Edward Calvin Kendall, ông đã thành công khi sử dụng một hormone tuyến thượng thận (sau này gọi là cortisone) trong việc chữa trị bệnh viêm thấp khớp ở bệnh xá Mayo của Đại học Minnesota."
Philip Showalter Hench,1949,"Ông cũng đoạt giải nghiên cứu Y học lâm sàng Lasker-DeBakey năm 1949, giải Passano năm 1950."
Philip Showalter Hench,1950,"Năm 1950, ông đoạt giải Nobel Sinh lý và Y khoa cùng với Edward Calvin Kendall và Tadeus Reichstein của Thụy Sĩ cho các khám phá liên quan tới các hormone của vỏ thượng thận, cấu trúc và các tác dụng sinh học của chúng."
Daley Blind,2007,"Blind là sản phẩm của hệ thống đào tạo trẻ Ajax và mặc dù chính thức vẫn là học viên B-junior, anh đã trở thành trụ cột của đội A-juniors trong mùa giải 2007–08, trước khi được thăng hạng lên đội một Ajax mùa giải 2008–09."
Daley Blind,2007,Blind đã được gọi vào đội U-21 Hà Lan thi đấu ở giải 2007 European Championships.
Daley Blind,2008,"Vào ngày 7 tháng 12 năm 2008, Blind có trận ra mắt đội một Ajax trong trận đấu với FC Volendam trên sân khách."
Daley Blind,2008,"Ngày 19 tháng 12 năm 2008, anh ký hợp đồng gia hạn với Ajax cho đến ngày 30 tháng 6 năm 2013."
Daley Blind,2010,"Anh ký hợp đồng chuyên nghiệp đầu tiên ở tuổi 17, ràng buộc anh với câu lạc bộ cho đến ngày 1 tháng 7 năm 2010."
Daley Blind,2010,"Vào ngày 5 tháng 1 năm 2010, anh gia nhập Groningen dưới dạng cho mượn trong phần còn lại của mùa giải 2009–10, trong kỳ chuyển nhượng mùa đông."
Daley Blind,2010,"Hai mùa giải tiếp theo chứng kiến Blind đóng góp vào hai chức vô địch quốc gia Eredivisie cùng Ajax, cho mùa giải 2010–11 và mùa giải 2011–12, chức vô địch đầu tiên sẽ là chức vô địch thứ 30 của Ajax."
Daley Blind,2011,Anh được gọi vào đội U-21 cho vòng loại giải vô địch châu Âu năm 2011 nhưng không để góp mặt chính thức mà lại ngồi trên băng ghế dự bị.
Daley Blind,2012,"Dưới sự dẫn dắt của huấn luyện viên mới được bổ nhiệm Frank de Boer, Blind ngày càng được tin tưởng và có nhiều thời gian thi đấu hơn, giúp anh có được vị trí hậu vệ trái được lựa chọn hàng đầu với vị trí xuất phát cố định trong mùa giải 2012–13."
Daley Blind,2013,"Anh tham gia thi đấu quốc tế kể từ năm 2013 đến năm 2024, ra sân hơn 100 trận cho đội tuyển bóng đá quốc gia Hà Lan và là thành viên của đội tuyển giành hạng ba FIFA World Cup 2014."
Daley Blind,2013,"Vào ngày 23 tháng 4 năm 2013, Marc Overmars thông báo rằng Ajax và Blind đã đạt được thỏa thuận gia hạn hợp đồng của anh ấy thêm ba năm, ràng buộc anh với câu lạc bộ cho đến mùa hè năm 2016."
Rita Ora,1991,"Họ đã chuyển đến Luân Đôn, nước Anh năm 1991, khi cô mới được một tuổi."
Rita Ora,2012,"Cô đã nổi lên vào tháng 2 năm 2012 khi cô tham gia vào chương trình ""Hot Right Now"" của DJ Fresh, bộ phim đạt vị trí quán quân tại Anh."
Rita Ora,2012,"Album studio ra mắt của cô, Ora, được phát hành vào tháng 8 năm 2012, đã ra mắt ở vị trí số một tại Anh."
Rita Ora,2012,"Ora là nghệ sĩ có số lượng đĩa đơn nhất trên bảng xếp hạng Anh trong năm 2012, với ba đĩa đơn liên tiếp đạt vị trí hàng đầu."
Rita Ora,2014,"Vào tháng 1 năm 2014, Adidas đã thông báo hợp tác với Ora về thương hiệu Adidas Originals."
Rita Ora,2014,"Cũng trong năm 2014, đĩa đơn ""I Will Never Let You Down"" của cô đã trở thành đĩa nhạc thứ tư của cô ở Anh, và cô đã xuất hiện trong ""Black Widow"" của Iggy Azalea, đạt vị trí cao nhất ở Anh và Mỹ."
Rita Ora,2015,"Vào ngày 10 tháng 7 năm 2015, Ora được bổ nhiệm làm đại sứ danh dự của Cộng hòa Kosovo do Chủ tịch nước Atifete Jahjaga tại Đại sứ quán Kosovo Luân Đôn tổ chức."
Rita Ora,2017,"Đĩa đơn chính từ album phòng thu thứ hai Phoenix, ""Your Song"", đã đạt vị trí thứ 7 ở Anh vào tháng 7 năm 2017."
Rita Ora,2017,"Vào năm 2017, cô được Tyra Banks chọn làm host cho chương trình truyền hình thực tế America's Next Top Model (mùa thứ 23)    Ora (2012) Phoenix (2018)       Ora Tour (2012) Radioactive Tour (2013) The Girls Tour (2018) Phoenix World Tour (2019–20) Góp mặt  DJ Fresh – DJ Fresh Tour (2012) Drake – Club Paradise Tour (2012) Coldplay – Mylo Xyloto Tour (2012)                 Website chính thức  Rita Ora trên AllMusic Rita Ora trên IMDb"
Richard Tisei,1981,"Là con trai của một thợ xây dựng, anh tốt nghiệp Trường Trung học Lynnfield ở Lynnfield, Massachusetts năm 1981."
Richard Tisei,1982,"Một chuyến thăm trường trung học tới Tòa nhà Bang Massachusetts đã mang lại cho Tisei ""lỗi chính trị."
Richard Tisei,1984,"Tốt nghiệp Đại học Mỹ, Tisei được bầu vào Hạ viện Massachusetts năm 1984."
Richard Tisei,1990,"Tisei phục vụ trong Hạ viện cho đến năm 1990, khi ông được bầu vào Thượng viện Massachusetts."
Richard Tisei,1997,Ông được bầu làm Trợ lý Lãnh đạo thiểu số vào năm 1997 và Lãnh đạo thiểu số vào tháng 1 năm 2007.
Richard Tisei,2000,"Năm 2000, Tisei trở thành đồng sở hữu Northrup với Starr."
Richard Tisei,2010,Ông là ứng cử viên của Đảng Cộng hòa cho chức Phó Thống đốc Massachusetts vào năm 2010 và là ứng cử viên của Quốc hội từ khu vực 6 của Massachusetts vào năm 2012 và 2014.
Richard Tisei,2010,"Ông đã không tái tranh cử vào năm 2010, thay vào đó tranh cử chức Phó Thống đốc cùng với ứng cử viên Đảng Cộng hòa Charlie Baker."
Richard Tisei,2012,"Tisei tranh cử vào Hạ viện Hoa Kỳ vào năm 2012, suýt thua người đương nhiệm 7 nhiệm kỳ của đảng Dân chủ John F."
Richard Tisei,2013,Vào tháng 7 năm 2013 Tisei và người bạn đời lâu năm Bernie Starr đã kết hôn.
Richard Tisei,2014,Ông tái tranh cử vào năm 2014 và đối mặt với cựu Thủy quân lục chiến Hoa Kỳ Seth Moulton trong cuộc tổng tuyển cử sau khi Moulton đánh bại Tierney trong cuộc bầu cử sơ bộ của đảng Dân chủ.
Elisha Otis,1834,"Năm 1834, ông kết hôn với Susan A."
Elisha Otis,1851,"Năm 1851, lần đầu tiên ông chuyển đến Thành phố Bergen, New Jersey, làm thợ cơ khí, sau đó đến Yonkers, New York, làm quản lý một xưởng cưa bỏ hoang."
Elisha Otis,1851,"Năm 1851, khi đang dọn dẹp nhà máy, Otis đã tự hỏi làm cách nào để có thể đưa tất cả những phoi vụn cũ lên các tầng trên của nhà máy."
Elisha Otis,1853,Otis đã chớp thời cơ Hội chợ Thế giới năm 1853 ở New York - một cơ hội lớn để quảng bá.
Elisha Otis,1857,Cơ chế khóa an toàn đã hoạt động và mọi người dần sẵn sàng đi trong thang máy kéo; Và chiếc thang máy dân dụng chở khách đầu tiên như vậy được lắp đặt tại 488 Broadway ở Thành phố New York vào ngày 23 tháng 3 năm 1857.
Elisha Otis,1857,"Sau này, Otis đã cải tiến các phát minh cũ của ông về lò nướng bánh mì và phanh xe lửa, cuối cùng đã được cấp bằng sáng chế cho một máy cày hơi nước vào năm 1857, một lò quay vào năm 1858."
Elisha Otis,1860,Ông cùng với con trai Charles cũng được nhận bằng sáng chế cho động cơ hơi nước dao động vào năm 1860.
Elisha Otis,1861,"Otis mắc bệnh bạch hầu và qua đời vào ngày 8 tháng 4 năm 1861, khi ấy ông mới 49 tuổi."
Elisha Otis,1889,"Một lần nữa tên Otis được nhắc đến khi năm 1889, họ đã cài đặt một thang máy ở tháp Eiffel (Paris) và Đài tưởng niệm Washington (năm 1890)."
Elisha Otis,1913,"Đến năm 1913, công ty Otis đã đạt danh tiếng quốc tế khi được lắp đặt hệ thống thang máy trong toà nhà Woolworth Building 60 tầng ở thành phố New York."
Elisha Otis,1997,"Otis đã đạt được thành công lớn khi năm 1997, người ta có thể tìm thấy tên của Otis trên hơn 1,2 triệu thang máy trên thế giới."
Tony Hibbert,1981,Anh và người đồng đội Leon Osman đã dành cả sự nghiệp ở Everton nhưng Leon Osman chuyển sang một vài clb khác theo dạng cho mượn.
Tony Hibbert,1981,Tính từ 2001 đến nay anh đã có gần 300 lần khoác áo Everton    Tony Hibbert sinh tại Merseyside.
Tony Hibbert,1981,Anh là 1 cổ động viên của Everton nên đã gia nhập đội trẻ của Everton.
Tony Hibbert,1981,Anh đã góp công trong đội hình đánh bại Blackburn Rovers 5-2 tại chung kết Cúp FA dành cho đội trẻ.
Tony Hibbert,1981,"3 năm sau,anh được gọi lên đôi 1 của Everton vào ngày 31 tháng 3 năm 2001 trong trận đấu với West Ham United."
Tony Hibbert,1981,Anh chưa ghi được 1 bàn nào cho Everton cho đến khi ghi bàn trong 1 pha đá phạt nâng tỉ số lên 4-1 trong trận đấu giao hữu với AEK Athens.
Tony Hibbert,1981,Anh cũng chưa có 1 danh hiệu lớn nào trong sự nghiệp thi đấu chuyên nghiệp nhưng nổi bật nhất là vào chung kết Cúp FA đấu với Chelsea FC và đã để thua 1-2.
Santos Alessandro,1994,"Anh đến Nhật Bản năm 1994, trở thành công dân Nhật năm 2001 và chơi cho đội tuyển Nhật tại World Cup 2002 và 2006."
Santos Alessandro,1997,League ngay sau khi học xong trung học năm 1997.
Santos Alessandro,1998,"Alex trở thành người sinh tại nước ngoài thứ hai chơi cho Nhật Bản tại World Cup; người đầu tiên là Wagner Lopes, cũng sinh tại Brasil, đã chơi cho đội tuyển Nhật Bản tại World Cup 1998."
Santos Alessandro,1999,Vào năm 1999 anh đoạt giải cầu thủ nổi tiếng nhất năm của J.
Santos Alessandro,1999,"League: 1999    Bài hát 1,2, Santos, được viết bởi nhạc sĩ Alessandra Mirka Gatti cho album ULTRA'S STADIUM-I GOT THE FEVER, là được viết về Alex."
Santos Alessandro,2001,"Do đó khi anh xin vào quốc tịch Nhật Bản năm 2001, anh đã được chấp thuận nhanh chóng."
Santos Alessandro,2002,Anh khoác áo lần đầu tiên cho đội tuyển Nhật Bản vào ngày 21 tháng 3 năm 2002 trong trận đấu với Ukraina.
Santos Alessandro,2004,"Tuy nhiên, vì chưa có đủ số lần khác áo cho một đội tuyển quốc gia (một đòi hỏi cho tất cả các cầu thủ sinh ra ngoài Liên minh châu Âu muốn chơi cho một câu lạc bộ tại châu Âu), anh đã bị chính phủ Anh từ chối cấp giấy tờ cho phép hành nghề; anh, do đó, đã phải trở lại với Shimizu cho đến hết mùa năm đó."
Santos Alessandro,2004,"2] Vào tháng 1 năm 2004, anh rời Shimizu để gia nhập Urawa Red Diamonds."
Santos Alessandro,2006,Alex được chọn lên đội tuyển Nhật Bản tham dự World Cup 2006.
Santos Alessandro,2006,"Trong vòng đấu bảng của World Cup 2006, anh đã giúp Tamada Keiji ghi một bàn thắng trong trận đấu với đội nơi anh sinh ra, đội Brasil."
Santos Alessandro,2007,Santos Alessandro – Thành tích thi đấu FIFA Santos Alessandro tại National-Football-Teams.
Cyprien Ntaryamira,1955,Cyprien Ntaryamira (6 tháng 3 năm 1955 - 6 tháng 4 năm 1994) là Tổng thống Burundi từ ngày 5/2/1994 cho đến khi ông qua đời khi ông đang ngồi trên máy bay của Juvénal Habyarimana bị bắn hạ.
Cyprien Ntaryamira,1982,Ntaryamira cuối cùng đã nhận được bằng về nông nghiệp từ Đại học Quốc gia Rwanda ở Butare vào năm 1982.
Cyprien Ntaryamira,1983,Ông trở về quê hương của mình vào năm 1983 để làm việc như một viên chức nông nghiệp.
Cyprien Ntaryamira,1986,"Vào tháng 8 năm 1986, ông trở thành một thành viên sáng lập và là giám đốc chính sách kinh tế của Mặt trận Dân chủ thuộc chi phối của người Hutu trong Đảng Burundi (FRODEBU)."
Cyprien Ntaryamira,1993,"Đảng của ông đã giành được quyền lực sau cuộc bầu cử dân chủ đầu tiên của Burundi vào năm 1993, kết thúc một lịch sử lâu dài của sự cai trị của thiểu số Tutsi và Liên minh Tiến bộ Quốc gia (UPRONA)."
Cyprien Ntaryamira,1993,"Tuy nhiên, vào tháng 10 năm 1993, Ndadaye và hai quan chức cấp cao của ông đã bị ám sát, gây ra bế tắc quốc hội và nội chiến."
Cyprien Ntaryamira,1994,"Ntaryamira được chọn làm tổng thống vào ngày 5 tháng 2 năm 1994 như một sự thỏa hiệp: Ông là Hutu nhưng được coi là trung bình trong truyền thống của Ndadaye; Anatole Kanyenkiko, một nhân vật của UPRONA, được bầu làm thủ tướng."
Cyprien Ntaryamira,1994,"Thời gian nghỉ ngơi ngắn ngủi, khi chiếc máy bay chở Ntaryamira và Tổng thống Rwanda Juvénal Habyarimana, một người Hutu, bị bắn hạ vào ngày 6 tháng 4 năm 1994, bởi những người đàn ông không xác định khi hạ cánh tại thủ đô Kigali của Rwanda, giết cả hai."
Sikhanyiso Dlamini,2001,"Vào năm 2001, Mswati III đã thiết lập nghi thức khiết tịnh truyền thống umchwasho Giáp ở Swaziland như một biện pháp chống lại dịch AIDS."
Sikhanyiso Dlamini,2003,"Vào ngày 14 tháng 12 năm 2003, một báo cáo xuất hiện trên tờ Times of Swaziland tuyên bố rằng Công chúa Sikhanyiso đã đi du lịch tới Mỹ và Anh, và chính phủ Swazi đã chi gần 1 triệu EURO (100.000 đô la Mỹ) cho chuyến đi của mình."
Sikhanyiso Dlamini,2005,"Vào cuối lệnh cấm năm 2005, Công chúa Sikhanyiso, khi đó mười bảy tuổi, đã tổ chức một bữa tiệc liên quan đến âm nhạc lớn và rượu tại nơi ở của mẹ Nữ hoàng."
Sikhanyiso Dlamini,2007,"Cô đã được giới thiệu trong một bộ phim tài liệu năm 2007 có tựa đề Không có nhà vua về chế độ quân chủ ở Eswatini, sự chênh lệch giữa sự giàu có của hoàng gia và sự nghèo đói lan rộng của các đối tượng của họ và cuộc khủng hoảng HIV / AIDS của Eswatini."
Sikhanyiso Dlamini,2012,"Năm 2012, Công chúa Sikhanyiso tốt nghiệp Đại học Sydney với bằng thạc sĩ về truyền thông kỹ thuật số."
Sikhanyiso Dlamini,2013,"Vào cuối tháng 9 năm 2013, cô đã có một cuộc trò chuyện dài ba giờ trên Twitter với một tổ chức Swazi bị cấm, Phong trào Dân chủ Nhân dân."
Sikhanyiso Dlamini,2013,Sự ra mắt của bài hát tưởng nhớ đã nhận được sự hoan nghênh nhiệt liệt tại Limkokwing trong thời gian trao bằng tiến sĩ danh dự cho Vua Mswati III vào ngày 4 tháng 7 năm 2013 cho cô.
Phạm Gia Túc,1989,"Ngày 24 tháng 6 năm 1989, ông được kết nạp Đảng Cộng sản Việt Nam, trở thành đảng viên chính thức vào ngày 24 tháng 6 năm 1990."
Phạm Gia Túc,2014,"Tháng 3 năm 2014, Bộ Chính trị luân chuyển, điều động Phạm Gia Túc tới công tác ở thành phố Cần Thơ, tham gia Ban Chấp hành, Ban Thường vụ Thành ủy và giữ chức Phó Bí thư Thành ủy Cần Thơ nhiệm kỳ 2010 – 2015."
Phạm Gia Túc,2014,Phạm Gia Túc công tác phối hợp lãnh đạo thành phố Cần Thơ cùng Bí thư Thành ủy Trần Quốc Trung trong những năm 2014 – 2017.
Phạm Gia Túc,2015,"Tháng 9 năm 2015, tại Đại hội Đảng bộ thành phố Cần Thơ khóa XIII, nhiệm kỳ 2015 – 2020, ông tiếp tục được bầu làm Phó Bí thư Thành ủy."
Phạm Gia Túc,2017,"Tháng 12 năm 2017, Bộ Chính trị quyết định điều động Phạm Gia Túc về công tác ở Trung ương."
Phạm Gia Túc,2017,"Giai đoạn 2017 – 2020, ông công tác hỗ trợ Trưởng Ban Nội chính Phan Đình Trạc."
Phạm Gia Túc,2020,"Tháng 6 năm 2020, tại phiên họp thứ nhất, Ban Chấp hành Đảng bộ Cơ quan Ban Nội chính Trung ương lần thứ II, Phạm Gia Túc được bầu giữ chức Bí thư Đảng ủy Cơ quan Ban Nội chính Trung ương nhiệm kỳ 2020 – 2025."
Phạm Gia Túc,2021,"Đến ngày 30 tháng 1 năm 2021, tại Đại hội Đại biểu toàn quốc Đảng Cộng sản Việt Nam khóa XIII, ông được bầu làm Ủy viên chính thức Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam khoá XIII."
Phạm Gia Túc,2021,"Ngày 06 tháng 5 năm 2021, Phạm Gia Túc được Bộ Chính trị cho thôi giữ chức Phó Trưởng Ban Nội Chính Trung ương và điều động tới tỉnh Nam Định, phân công tham gia Ban Chấp hành, Ban Thường vụ Tỉnh ủy Nam Định để giữ chức Bí thư Tỉnh ủy Nam Định."
Phạm Gia Túc,2024,"Ngày 12 tháng 11 năm 2024, Phạm Gia Túc được Bộ Chính trị điều động, phân công giữ chức Phó Chánh Văn phòng Trung ương Đảng."
Phạm Gia Túc,2025,"Ngày 29 tháng 8 năm 2025, tại Hà Nội, Văn phòng Trung ương Đảng tổ chức công bố Quyết định của Bộ Chính trị bổ nhiệm đồng chí Phạm Gia Túc, Ủy viên Trung ương Đảng, Phó Chánh Văn phòng Trung ương Đảng giữ chức Chánh Văn phòng Trung ương Đảng."
Phạm Gia Túc,2025,"Tại hội nghị, Đồng chí Trần Cẩm Tú, Ủy viên Bộ Chính trị, Thường trực Ban Bí thư đã trao quyết định và tặng hoa chúc mừng đồng chí Phạm Gia Túc."
Phạm Gia Túc,2026,"Ông hiện là Ủy viên Bộ Chính trị, Phó Bí thư Thường trực Đảng ủy Chính phủ, Phó Thủ tướng Thường trực Chính phủ, Đại biểu Quốc hội Việt Nam khóa XVI nhiệm kì 2026 – 2031, thuộc đoàn Đại biểu Quốc hội Tỉnh Hà Tĩnh."
Aleksandr Gennadyevich Anyukov,2000,"Năm 2000, anh bắt đầu chơi cho đội dự bị của Krylia Sovetov Samara ở giải Hạng 2."
Aleksandr Gennadyevich Anyukov,2000,Anyukov có trận ra mắt ở giải Ngoại hạng Nga vào ngày 14 tháng 10 năm 2000 trong trận gặp Zenit Saint Petersburg.
Aleksandr Gennadyevich Anyukov,2004,Anh cũng xuất hiện ở Euro 2004.
Aleksandr Gennadyevich Anyukov,2005,Anh chơi cho Krylia Sovetov ho tới giữa năm 2005.
Aleksandr Gennadyevich Anyukov,2005,Vào tháng 7 năm 2005 anh chuyển tới Zenit Saint Petersburg.
Aleksandr Gennadyevich Anyukov,2005,Anh đã cùng đội bóng vào tới tứ kết cúp UEFA 2005-06 và vô địch giải này vào mùa 2007-08.
Aleksandr Gennadyevich Anyukov,2008,Anh được gọi vào đội tuyển Nga ở Euro 2008.
Charles Darwin,1795,"Khi kỳ thi gần tới, Darwin rất chăm chú ôn luyện và rất hứng khởi bởi ngôn từ và lối logic trong cuốn Evidences of Christianity (1795) của William Paley."
Charles Darwin,1802,"Trong thời gian đó, ông nghiên cứu tác phẩm Natural Theology or Evidences of the Existence and Attributes of the Deity của Paley (xuất bản lần đầu vào năm 1802), lập luận cho sự tồn tại của thiết kế thần thánh trong tự nhiên, cho rằng sự thích nghi chính là hành động của Chúa được thể hiện thông qua quy luật tự nhiên."
Charles Darwin,1809,"Charles Robert Darwin chào đời ngày 12 tháng 2 năm 1809 tại Shrewbury, Shropshire, Anh quốc."
Charles Darwin,1817,"Tháng 7 năm 1817, mẹ ông không may qua đời vì bệnh dạ dày."
Charles Darwin,1818,"Từ tháng 9 năm 1818, ông cùng anh trai Erasmus học nội trú tại trường Anh giáo Shrewsbury."
Charles Darwin,1825,"Mùa hè năm 1825, Darwin trở thành bác sĩ tập sự dưới trướng cha ông, giúp đỡ và chữa trị cho những bệnh nhân nghèo ở Shropshire."
Charles Darwin,1827,"Vào ngày 27 tháng 3 năm 1827 tại hội Plinian, ông công bố phát hiện bào tử đen tìm thấy trong vỏ hàu thực chất là trứng của một con đỉa bám cá đuối."
Charles Darwin,1828,"Do Darwin không đỗ kì thi Tripos đầu vào, ông đành phải nhập học hệ thường vào tháng 1 năm 1828."
Charles Darwin,1829,Một số phát hiện của ông còn được công bố trong cuốn Illustrations of British entomology (1829–32) của James Francis Stephens.
Charles Darwin,1831,"Vào kỳ kiểm tra cuối cùng tháng 1 năm 1831, Darwin đã hoàn thành rất xuất sắc, đứng thứ 10 trong số 178 sĩ tử."
Charles Darwin,1831,"Sau nhiều đình hoãn, cuộc du hành chính thức bắt đầu vào ngày 27 tháng 12 năm 1831; chuyến đi mà rốt cuộc mất tận 5 năm ròng."
Charles Darwin,1835,"Tại Chile, Darwin đã chứng kiến trận động đất vào năm 1835 và phát hiện bằng chứng mặt đất đã trồi lên một ít, bao gồm những dải vẹm mắc cạn vượt mức thủy triều tột đỉnh."
Chandrika Kumaratunga,1815,"Mẹ bà Sirima Ratwatte Dias Bandaranaike, là con gái của Barnes Ratwatte Dissawa, tước Rate Mahatmaya của Balangoda dưới thời cai trị của thực dân Anh, hậu duệ của Ratwatte Dissawa một trong người đại diện Sinhala kí Hiệp ước Kandya (1815)."
Chandrika Kumaratunga,1948,"Những năm đầu của bà chứng kiến sự nghiệp chính trị đang lên của cha bà khi ông trở thành Bộ trưởng Bộ Y tế và Chính quyền địa phương đầu tiên khi Ceylon giành được độc lập vào năm 1948 và rời khỏi đảng cầm quyền để thành lập đảng của riêng mình, Đảng Tự do Sri Lanka (SLFP) với phe theo ông, gọi là Sinhala Maha Sabha, năm 1951."
Chandrika Kumaratunga,1952,Tranh cử các cuộc bầu cử sau đó và củng cố SLFP trong các giai đoạn giữa các cuộc bầu cử; Bandaranaike trở thành Thủ lĩnh phe đối lập năm 1952 và Thủ tướng năm 1956.
Chandrika Kumaratunga,1959,"Khi còn là thủ tướng, ông đã khởi xướng một số đạo luật gây tranh cãi tạo nên các mối bất hòa sắc tộc trên đảo và ông bị ám sát năm 1959, khi Chandrika mười bốn tuổi."
Chandrika Kumaratunga,1960,"Sau vụ ám sát, vợ đã nắm quyền lãnh đạo SLFP và đưa nó đến một chiến thắng bầu cử, đưa bà trở thành nữ thủ tướng đầu tiên trên thế giới vào năm 1960."
Chandrika Kumaratunga,1967,"Tuy nhiên, vào năm 1967, bà bỏ Aquinas khi chưa học xong để tới Pháp với học bổng của Viện nghiên cứu Pháp."
Chandrika Kumaratunga,1968,"Năm 1968, cô tiếp tục học tại Học viện Chính trị Paris (Science Po) tốt nghiệp bằng tốt nghiệp khoa học chính trị năm 1970, sau đó đăng ký chương trình tiến sĩ về kinh tế phát triển, tại École Pratique des Hautes Études (Trường nghiên cứu Cao cấp Thực hành), Paris, nơi bà học từ 1970 đến 1973  Bà thông thạo tiếng Sinhala, tiếng Anh và tiếng Pháp."
Chandrika Kumaratunga,1972,"Bà trở lại Ceylon vào năm 1972, nơi mẹ bà trở thành thủ tướng lần thứ hai vào năm 1970 và đưa ra một chương trình cải cách xã hội rộng khắp và đối mặt với cuộc nổi dậy bạo lực của cộng sản vào năm 1971."
Chandrika Kumaratunga,1974,"Năm 1974, bà trở thành thành viên ủy ban điều hành của Hội Phụ nữ."
Chandrika Kumaratunga,1976,"Rời khỏi ủy ban năm 1976, bà trở thành Chủ tịch Ủy ban Janawasa phụ trách thành lập hợp tác xã nông nghiệp từ đất được Trung tâm mua lại."
Chandrika Kumaratunga,1977,"Sau thất bại của chính phủ SLFP của mẹ bà trong cuộc tổng tuyển cử năm 1977, bà chuyển sang làm cố vấn cho Tổ chức Lương thực và Nông nghiệp của Liên Hợp Quốc cho đến năm 1979."
Chandrika Kumaratunga,1978,"Năm 1978, bà kết hôn với Vijaya Kumaratunga, một diễn viên hàng đầu và nhà hoạt động chính trị bỏ đảng LSSP sang SLFP."
